year,state,DEMOCRAT_VOTES,LIBERTARIAN_VOTES,OTHER_VOTES,REPUBLICAN_VOTES,Winning_Party
2000,NEW JERSEY,1511237,,84158,1420267,DEMOCRAT
2000,NEW MEXICO,363744,,265,225517,DEMOCRAT
2000,NEW YORK,3562415,4734,667924,2724589,DEMOCRAT
2000,NORTH DAKOTA,176470,,,111069,DEMOCRAT
2000,OHIO,1595066,116724,71499,2665512,REPUBLICAN
2000,PENNSYLVANIA,2154908,45775,52471,2481962,REPUBLICAN
2000,RHODE ISLAND,161023,,7742,222588,REPUBLICAN
2000,TENNESSEE,621152,,52017,1255444,REPUBLICAN
2000,TEXAS,2025024,72657,91329,4078954,REPUBLICAN
2000,UTAH,242569,10394,11938,504803,REPUBLICAN
2000,VERMONT,73352,3843,22172,189133,REPUBLICAN
2000,VIRGINIA,1296093,,1748,1420460,REPUBLICAN
2000,WASHINGTON,1199437,64734,,1197208,DEMOCRAT
2000,WEST VIRGINIA,469215,12627,,121635,DEMOCRAT
2000,WISCONSIN,1563238,21348,14753,940744,DEMOCRAT
2000,WYOMING,47087,8950,,157622,REPUBLICAN
2002,ALABAMA,538878,20234,1350,792561,REPUBLICAN
2002,ALASKA,24133,2354,23623,179438,REPUBLICAN
2002,ARKANSAS,433386,,,370735,DEMOCRAT
2002,COLORADO,648130,20776,29283,717893,REPUBLICAN
2002,DELAWARE,135253,922,1346,94793,DEMOCRAT
2002,GEORGIA,932422,27830,,1071352,REPUBLICAN
2002,IDAHO,132975,9354,,266215,REPUBLICAN
2002,ILLINOIS,2103766,57382,,1325703,DEMOCRAT
2002,IOWA,554278,8864,12041,447892,DEMOCRAT
2002,KANSAS,,70725,65050,641075,REPUBLICAN
2002,KENTUCKY,399634,,,731679,REPUBLICAN
2002,LOUISIANA,1235554,,16731,1229344,DEMOCRAT
2002,MAINE,209858,,,295041,REPUBLICAN
2002,MASSACHUSETTS,1605976,369807,244518,,DEMOCRAT
2002,MICHIGAN,1896614,,47128,1185545,DEMOCRAT
2002,MINNESOTA,1078627,,59312,1116697,REPUBLICAN
2002,MISSISSIPPI,,,97226,533269,REPUBLICAN
2002,MISSOURI,913778,18345,10465,935032,REPUBLICAN
2002,MONTANA,204853,10420,7653,103611,DEMOCRAT
2002,NEBRASKA,70290,7423,5066,397438,REPUBLICAN
2002,NEW HAMPSHIRE,207478,9835,2593,227229,REPUBLICAN
2002,NEW JERSEY,1138193,12558,33414,928439,DEMOCRAT
2002,NEW MEXICO,168863,,,314193,REPUBLICAN
2002,NORTH CAROLINA,1047983,33807,727,1248664,REPUBLICAN
2002,OKLAHOMA,369789,,65056,583579,REPUBLICAN
2002,OREGON,501898,29979,23057,712287,REPUBLICAN
2002,RHODE ISLAND,253774,,,69808,DEMOCRAT
2002,SOUTH CAROLINA,487359,6648,8895,600010,REPUBLICAN
2002,SOUTH DAKOTA,167481,3071,,166949,DEMOCRAT
2002,TENNESSEE,728232,,22702,891498,REPUBLICAN
2002,TEXAS,1955758,35538,26473,2496243,REPUBLICAN
2002,VIRGINIA,,,259528,1229894,REPUBLICAN
2002,WEST VIRGINIA,275281,,,160902,DEMOCRAT
2002,WYOMING,49570,,,133710,REPUBLICAN
2004,ALABAMA,595018,,1848,1242200,REPUBLICAN
2004,ALASKA,140424,,18118,149773,REPUBLICAN
2004,ARIZONA,404507,51798,,1505372,REPUBLICAN
2004,ARKANSAS,580973,,340,458036,DEMOCRAT
2004,CALIFORNIA,6955728,216522,325123,4555922,DEMOCRAT
2004,COLORADO,1081188,10160,35456,980668,DEMOCRAT
2004,CONNECTICUT,945347,9188,12442,457749,DEMOCRAT
2004,FLORIDA,3590201,,166829,3672864,REPUBLICAN
2004,GEORGIA,1287690,69051,38,1864202,REPUBLICAN
2004,HAWAII,313629,5277,9269,87172,DEMOCRAT
2004,IDAHO,,,4136,499796,REPUBLICAN
2004,ILLINOIS,3597456,69253,84121,1390690,DEMOCRAT
2004,INDIANA,1496976,27344,,903913,DEMOCRAT
2004,IOWA,412365,15218,13470,1038175,REPUBLICAN
2004,KANSAS,310337,21842,15980,780863,REPUBLICAN
2004,KENTUCKY,850855,,,873507,REPUBLICAN
2004,LOUISIANA,877482,,27560,943014,REPUBLICAN
2004,MARYLAND,1504691,,34185,783055,DEMOCRAT
2004,MISSOURI,1158261,19648,10404,1518089,REPUBLICAN
2004,NEVADA,494805,9559,21064,284640,DEMOCRAT
2004,NEW HAMPSHIRE,221549,,690,434847,REPUBLICAN
2004,NEW YORK,4384907,19073,1418769,1625069,DEMOCRAT
2004,NORTH CAROLINA,1632527,47743,362,1791450,REPUBLICAN
2004,NORTH DAKOTA,212143,,,98553,DEMOCRAT
2004,OHIO,1961171,,296,3464356,REPUBLICAN
2004,OKLAHOMA,596750,,86663,763433,REPUBLICAN
2004,OREGON,1128728,29582,56986,565254,DEMOCRAT
2004,PENNSYLVANIA,2334126,79263,220636,2925080,REPUBLICAN
2004,SOUTH CAROLINA,704384,10678,24992,857167,REPUBLICAN
2004,SOUTH DAKOTA,193340,,,197848,REPUBLICAN
2004,UTAH,258955,,26131,626640,REPUBLICAN
2004,VERMONT,216972,,14838,75398,DEMOCRAT
2004,WASHINGTON,1549708,34055,30304,1204584,DEMOCRAT
2004,WISCONSIN,1632697,8367,7496,1301183,DEMOCRAT
2006,ARIZONA,664141,48231,12,814398,REPUBLICAN
2006,CALIFORNIA,5076289,133851,340514,2990822,DEMOCRAT
2006,CONNECTICUT,450844,,574735,109198,OTHER
2006,DELAWARE,170567,2671,,69734,DEMOCRAT
2006,FLORIDA,2890548,,76859,1826127,DEMOCRAT
2006,HAWAII,210330,6415,,126097,DEMOCRAT
2006,INDIANA,,168820,738,1171553,REPUBLICAN
2006,MAINE,113131,,26401,405596,REPUBLICAN
2006,MARYLAND,965477,,28480,787182,DEMOCRAT
2006,MASSACHUSETTS,1500738,,81565,661532,DEMOCRAT
2006,MICHIGAN,2151278,27012,42255,1559597,DEMOCRAT
2006,MINNESOTA,1278849,,88270,835653,DEMOCRAT
2006,MISSISSIPPI,213000,9522,,388399,REPUBLICAN
2006,MISSOURI,1055255,47792,18471,1006941,DEMOCRAT
2006,MONTANA,199845,10377,,196283,DEMOCRAT
2006,NEBRASKA,378388,,,213928,DEMOCRAT
2006,NEVADA,238796,5269,16006,322501,REPUBLICAN
2006,NEW JERSEY,58333,345,1297,41998,DEMOCRAT
