year,state,DEMOCRAT_VOTES,LIBERTARIAN_VOTES,OTHER_VOTES,REPUBLICAN_VOTES,Winning_Party
2008,WEST VIRGINIA,303857,,12128,397466,REPUBLICAN
2008,WISCONSIN,1677211,8858,34955,1262393,DEMOCRAT
2008,WYOMING,82868,1594,5484,164958,REPUBLICAN
2012,ALABAMA,795696,,22717,1255925,REPUBLICAN
2012,ALASKA,122640,7392,5787,164676,REPUBLICAN
2012,ARIZONA,1025232,32100,8268,1233654,REPUBLICAN
2012,ARKANSAS,394409,16276,11039,647744,REPUBLICAN
2012,CALIFORNIA,7854285,143221,201083,4839958,DEMOCRAT
2012,COLORADO,1323101,35545,25627,1185243,DEMOCRAT
2012,CONNECTICUT,905083,12340,5889,634892,DEMOCRAT
2012,DELAWARE,242584,3882,1940,165484,DEMOCRAT
2012,DISTRICT OF COLUMBIA,267070,2083,3230,21381,DEMOCRAT
2012,FLORIDA,4237756,44726,28250,4163447,DEMOCRAT
2012,GEORGIA,1773827,45324,,2078688,REPUBLICAN
2012,HAWAII,306658,3840,5646,121015,DEMOCRAT
2012,IDAHO,212787,9453,9123,420911,REPUBLICAN
2012,ILLINOIS,3019512,56229,31057,2135216,DEMOCRAT
2012,INDIANA,1152887,50111,993,1420543,REPUBLICAN
2012,IOWA,822544,12926,16093,730617,DEMOCRAT
2012,KANSAS,440726,20456,6155,692634,REPUBLICAN
2012,KENTUCKY,679370,17063,13589,1087190,REPUBLICAN
2012,LOUISIANA,809141,18157,14505,1152262,REPUBLICAN
2012,MAINE,401306,9352,21824,292276,DEMOCRAT
2012,MARYLAND,1677844,30195,27419,971869,DEMOCRAT
2012,MASSACHUSETTS,1921290,30920,43672,1188314,DEMOCRAT
2012,MICHIGAN,2564569,,51136,2115256,DEMOCRAT
2012,MINNESOTA,1546167,35098,35071,1320225,DEMOCRAT
2012,MISSISSIPPI,562949,6676,5213,710746,REPUBLICAN
2012,MISSOURI,1223796,43151,7936,1482440,REPUBLICAN
