STATE,YEAR,BACHELORS_DEGREE_TOT,MED_HOUSE_INC,VIOLENT_CRIME_RATE,GDP_MILLIONS,GUNS_PER_HOUSEHOLD,POPULATION,UNEMPLOYMENT_RATE
KANSAS,2012,245280,20346,10292,140764.1,0.455,2885257.0,5.7
KENTUCKY,2012,289325,22877,9852,176323.1,0.514,4386346.0,8.2
LOUISIANA,2012,300230,23807,22839,233481.2,0.551,4600972.0,6.7
MAINE,2012,87590,25424,1626,52866.6,0.46,1327729.0,7.2
MARYLAND,2012,642600,26742,28086,334555.5,0.213,5886992.0,6.9
MASSACHUSETTS,2012,812840,28690,27047,444478.2,0.111,6663005.0,6.7
MICHIGAN,2012,721155,29005,44962,418742.3,0.391,9897145.0,9.0
IDAHO,2012,104725,62498,3348,57780.1,0.552,1595324.0,7.4
WYOMING,2012,36980,61285,1161,38437.7,0.597,576305.0,5.5
WYOMING,2016,43410,47390,1431,35704.0,0.607,584215.0,5.4
WISCONSIN,2016,497605,51981,17716,313440.2,0.471,5772628.0,3.9
MICHIGAN,2016,781050,67481,45782,488962.6,0.389,9950571.0,5.0
MASSACHUSETTS,2016,895005,66258,25975,519143.5,0.09,6823608.0,4.0
MARYLAND,2016,688420,63383,29019,387620.2,0.16699999999999998,6003323.0,4.3
MAINE,2016,105165,62967,1649,59754.2,0.477,1331317.0,3.8
LOUISIANA,2016,324860,61047,26477,223409.5,0.523,4678135.0,6.1
KENTUCKY,2016,310640,58341,10452,195840.2,0.525,4438182.0,5.0
KANSAS,2016,261800,55493,11665,159232.8,0.423,2910844.0,4.0
IOWA,2016,266910,56701,9170,179939.8,0.385,3131371.0,3.6
INDIANA,2016,503575,58491,26516,337217.2,0.424,6634304.0,4.4
IDAHO,2016,125615,53529,3876,69075.5,0.578,1682380.0,3.7
MINNESOTA,2016,576235,69789,13365,341696.3,0.391,5522744.0,3.9
HAWAII,2016,127000,54628,3452,85899.9,0.091,1427559.0,2.9
FLORIDA,2016,1542505,50871,88700,941561.2,0.28800000000000003,20613477.0,4.9
DISTRICT OF COLUMBIA,2016,169630,49275,8236,129477.1,,685815.0,6.2
DELAWARE,2016,78485,47861,4859,69284.2,0.387,948921.0,4.5
CONNECTICUT,2016,376430,47342,8169,266747.3,0.188,3578141.0,4.8
COLORADO,2016,653905,47550,19030,327757.3,0.379,5539215.0,3.1
CALIFORNIA,2016,3921620,46050,174796,2671100.5,0.163,39167117.0,5.5
ARKANSAS,2016,189255,44299,16563,119191.8,0.518,2989918.0,4.0
ARIZONA,2016,508275,42775,32542,313056.5,0.36,6941072.0,5.5
ALASKA,2016,61695,37038,5966,49755.6,0.5720000000000001,741456.0,6.6
ALABAMA,2016,334875,36480,25878,204454.7,0.528,4863525.0,5.9
GEORGIA,2016,914050,54813,40268,541292.2,0.377,10301890.0,5.4
MISSISSIPPI,2016,177815,71319,8411,106492.9,0.541,2987938.0,5.9
ILLINOIS,2016,1373560,62537,56054,803943.7,0.226,12820527.0,5.9
MONTANA,2016,82740,84523,3886,45680.3,0.65,1040859.0,4.3
MISSOURI,2016,515485,77067,31720,297752.6,0.528,6087135.0,4.5
WASHINGTON,2016,763975,47329,22101,493634.5,0.321,7294771.0,5.2
VIRGINIA,2016,943490,43261,18495,496570.2,0.353,8410106.0,4.0
VERMONT,2016,57420,42999,851,31430.4,0.503,623657.0,3.1
UTAH,2016,297280,40794,7406,157442.7,0.397,3041868.0,3.3
TEXAS,2016,2389780,39594,121064,1567687.1,0.355,27914410.0,4.6
TENNESSEE,2016,516755,41584,42459,334435.7,0.469,6646010.0,4.7
SOUTH DAKOTA,2016,69025,39372,3636,48731.3,0.55,862996.0,3.0
SOUTH CAROLINA,2016,370085,35053,25137,213584.6,0.45,4957968.0,4.9
RHODE ISLAND,2016,104775,32358,2529,57529.4,0.139,1056770.0,5.2
PENNSYLVANIA,2016,1209520,33824,40389,726884.5,0.402,12782275.0,5.3
WEST VIRGINIA,2016,110950,50704,6633,70006.2,0.6,1831023.0,6.1
OKLAHOMA,2016,273315,31065,17855,177813.0,0.5489999999999999,3926331.0,4.6
OREGON,2016,392680,35802,10983,214617.5,0.414,4089976.0,4.7
NEVADA,2016,187330,26000,19924,150287.3,0.329,2917563.0,5.8
NEW HAMPSHIRE,2016,128275,24599,2668,78509.0,0.463,1342307.0,2.9
NEW JERSEY,2016,1023980,25415,21861,581504.4,0.08900000000000001,8870827.0,4.9
NEW MEXICO,2016,130290,28988,14585,91240.2,0.359,2091630.0,6.7
NEBRASKA,2016,182720,22578,5661,116879.2,0.392,1905616.0,3.1
NORTH CAROLINA,2016,893505,31098,37767,520356.6,0.371,10154788.0,5.1
NORTH DAKOTA,2016,73320,29155,1905,50792.3,0.5329999999999999,754434.0,3.1
OHIO,2016,942570,32755,35759,621542.6,0.419,11634370.0,5.0
NEW YORK,2016,2283450,31295,74315,1545987.7,0.145,19633428.0,4.9
OKLAHOMA,2020,284680,48744,17086,186581.4,0.5489999999999999,4034317.558,6.1
NEVADA,2020,219215,37248,15210,172597.6,0.329,3162265.9680000003,12.8
NEW HAMPSHIRE,2020,139730,39629,2074,85109.3,0.463,1367809.289,6.7
NEW JERSEY,2020,1101485,39719,18375,619061.1,0.08900000000000001,8982455.032,9.8
NEW MEXICO,2020,137595,39763,17450,100310.1,0.359,2171343.495,8.4
NEW YORK,2020,2418300,42555,69764,1699044.7,0.145,19715335.2,10.0
NORTH CAROLINA,2020,978850,45397,38995,586136.2,0.371,10721159.85,7.3
NEBRASKA,2020,202530,35250,5821,128808.7,0.392,1950771.726,4.2
NORTH DAKOTA,2020,75905,44718,2169,54032.9,0.5329999999999999,771057.1526,5.1
OHIO,2020,1015845,47041,34269,675037.3,0.419,11702209.41,8.1
OREGON,2020,439290,53337,11995,250458.5,0.414,4244718.1110000005,7.6
TENNESSEE,2020,592510,67441,40647,364485.9,0.469,6912745.326,7.5
RHODE ISLAND,2020,110670,52201,2342,60224.7,0.139,1054667.363,9.4
SOUTH CAROLINA,2020,416770,54509,26323,241688.7,0.45,5205894.616,6.2
SOUTH DAKOTA,2020,74695,57512,3530,54852.1,0.55,891247.5579,4.6
TEXAS,2020,2717435,55700,121474,1759734.4,0.355,29572221.05,7.6
UTAH,2020,334445,55690,7553,194985.8,0.397,3259605.595,4.7
VERMONT,2020,63810,60925,1262,32796.7,0.503,628814.7263,5.6
VIRGINIA,2020,1001990,57829,17753,551760.3,0.353,8739450.437,6.2
WASHINGTON,2020,878310,59536,22377,618704.9,0.321,7649055.337,8.4
WEST VIRGINIA,2020,111125,57837,5674,73709.2,0.6,1836829.358,8.3
MONTANA,2020,102260,33423,4328,51488.7,0.65,1078090.653,5.9
PENNSYLVANIA,2020,1273570,52470,39228,780176.1,0.402,12936022.13,9.1
MISSOURI,2020,561540,30953,30380,321708.8,0.528,6222175.589,6.1
ALABAMA,2020,354540,51237,25046,224870.6,0.528,4985739.395,5.9
MINNESOTA,2020,647145,33140,13332,374351.8,0.391,5674929.4,6.2
WISCONSIN,2020,542485,62539,17070,338678.4,0.471,5884731.163,6.3
ALASKA,2020,63145,50351,6343,50246.7,0.5720000000000001,765458.7105,7.8
ARIZONA,2020,571695,52058,33141,372461.0,0.36,7419139.195,7.9
ARKANSAS,2020,202205,53079,17643,129073.9,0.518,3078075.295,6.1
CALIFORNIA,2020,4330535,51726,174331,3091871.5,0.163,40244067.09,10.1
COLORADO,2020,771390,55258,21938,390098.7,0.379,5821226.905,7.3
CONNECTICUT,2020,390425,58080,6546,280900.3,0.188,3625837.963,7.9
DELAWARE,2020,85110,55425,4115,75512.5,0.387,991705.0158,7.8
DISTRICT OF COLUMBIA,2020,192555,59817,7403,143532.7,,706158.9263,8.0
FLORIDA,2020,1745405,63482,81270,1095888.2,0.28800000000000003,21671188.13,7.7
GEORGIA,2020,1005425,63451,36170,619240.0,0.377,10850150.38,6.5
HAWAII,2020,135965,62629,4042,89856.2,0.091,1471432.895,11.6
IDAHO,2020,139400,67355,4000,84032.2,0.578,1797730.916,5.4
ILLINOIS,2020,1441205,23816,51561,863516.7,0.226,12907996.02,9.5
INDIANA,2020,536670,22081,24966,372636.7,0.424,6789826.632,7.1
IOWA,2020,282075,23559,8410,192710.2,0.385,3181238.847,5.3
KANSAS,2020,277340,27590,11968,173298.3,0.423,2965599.4680000003,5.9
KENTUCKY,2020,336365,26419,9701,210024.2,0.525,4545070.195,6.6
LOUISIANA,2020,350875,29521,25537,241990.8,0.523,4682881.932,8.3
MAINE,2020,115885,29460,1548,66196.0,0.477,1348332.832,5.4
MARYLAND,2020,712675,29050,27456,422726.4,0.16699999999999998,6161710.3,6.8
MASSACHUSETTS,2020,974100,30209,22578,584039.0,0.09,6917560.942000001,8.9
MICHIGAN,2020,851380,29442,43686,515928.3,0.389,9925566.105,9.9
MISSISSIPPI,2020,172285,31529,8272,114200.6,0.541,3026338.874,8.1
WYOMING,2020,44925,65134,1258,36241.5,0.607,606248.9105,5.8
