YEAR,STATE_NAME,STATE_NUMBER,REGION,DIVISION,TOTAL_POPULATION,RACE_WHITE,RACE_BLACK,RACE_OTHER,AGE_0_TO_19,AGE_20_TO_39,AGE_40_TO_59,AGE_60_TO_79,AGE_80_AND_OVER,ORIGIN_HISPANIC,ORIGIN_NOT_HISPANIC,SEX_FEMALE,SEX_MALE
2001,Nevada,32,West,Mountain,2098399,1751909,150616,195874,584060,625188,565778,277312,46061,433396,1665003,1030850,1067549
2001,New Hampshire,33,Northeast,New England ,1255517,1211196,11031,33290,347811,335492,374186,157771,40257,23049,1232468,637412,618105
2001,New Jersey,34,Northeast,Middle Atlantic,8492671,6606138,1225586,660947,2303248,2371989,2364191,1145222,308021,1173732,7318939,4369932,4122739
2001,New Mexico,35,West,Mountain,1831690,1558945,39240,233505,560758,490451,489041,238102,53338,783543,1048147,930387,901303
2001,New York,36,Northeast,Middle Atlantic,19082838,14171067,3362588,1549183,5193778,5526024,5130203,2554169,678664,2952390,16130448,9878713,9204125
2001,North Carolina,37,South,South Atlantic,8210122,6099850,1788451,321821,2239347,2445704,2204795,1078155,242121,424721,7785401,4187317,4022805
2001,North Dakota,38,Midwest,West North Central,639062,591964,4568,42530,181084,169821,169275,89095,29787,8377,630685,319787,319275
2001,Ohio,39,Midwest,East North Central,11387404,9748013,1335348,304043,3200250,3091987,3120370,1572462,402335,232498,11154906,5853691,5533713
2001,Oklahoma,40,South,West South Central,3467100,2722405,265290,479405,996798,951832,914727,483448,120295,195483,3271617,1760052,1707048
2001,Oregon,41,West,Pacific,3467937,3158673,60227,249037,947017,960193,980251,452312,128164,296083,3171854,1747889,1720048
2001,Pennsylvania,42,Northeast,Middle Atlantic,12298970,10651965,1273174,373831,3256966,3203632,3409598,1888691,540083,421461,11877509,6354395,5944575
2001,Rhode Island,44,Northeast,New England ,1057142,945933,62318,48891,283057,296022,286749,145470,45844,96675,960467,548974,508168
2001,South Carolina,45,South,South Atlantic,4064995,2771630,1203169,90196,1140572,1154110,1103699,548706,117908,107615,3957380,2089963,1975032
2001,South Dakota,46,Midwest,West North Central,757972,674503,5538,77931,226592,197508,196638,104105,33129,12581,745391,381537,376435
2001,Tennessee,47,South,East South Central,5750789,4662873,953361,134555,1565704,1651023,1576048,778494,179520,139039,5611750,2948421,2802368
2001,Texas,48,South,West South Central,21319622,17788213,2511451,1019958,6650892,6465364,5368424,2315883,519059,6987005,14332617,10731190,10588432
2001,Utah,49,West,Mountain,2283715,2142381,20811,120523,819288,717400,487417,208858,50752,217648,2066067,1139182,1144533
2001,Vermont,50,Northeast,New England ,612223,593614,3618,14991,166257,158178,184376,81925,21487,6104,606119,311779,300444
2001,Virginia,51,South,South Atlantic,7198362,5342181,1431476,424705,1960964,2126661,2020093,889657,200987,361650,6836712,3665386,3532976
2001,Washington,53,West,Pacific,5985722,5131720,205250,648752,1688011,1724900,1681899,701261,189651,473640,5512082,3002080,2983642
2001,West Virginia,54,South,South Atlantic,1801481,1715007,57651,28823,446339,470713,520362,293778,70289,13147,1788334,923643,877838
2001,Wisconsin,55,Midwest,East North Central,5406835,4889223,316863,200749,1535518,1479848,1476701,709926,204842,209771,5197064,2733647,2673188
2001,Wyoming,56,West,Mountain,494657,469145,4181,21331,142882,127957,144984,63874,14960,32956,461701,245327,249330
2002,Alabama,1,South,East South Central,4480089,3204279,1171672,104138,1244435,1227597,1223572,636938,147547,94179,4385910,2314370,2165719
2002,Alaska,2,West,Pacific,642337,452784,23838,165715,208485,182703,192043,51796,7310,29943,612394,309633,332704
2002,Arizona,4,West,Mountain,5396255,4723484,186140,486631,1575649,1547767,1353054,746811,172974,1426437,3969818,2704217,2692038
2002,Arkansas,5,South,West South Central,2705927,2202027,425707,78193,755574,732977,717293,399704,100379,105694,2600233,1383239,1322688
2002,California,6,West,Pacific,34871843,26874787,2413281,5583775,10354903,10537296,9054516,3923864,1001264,11705795,23166048,17498462,17373381
2002,Colorado,8,West,Mountain,4490406,4052788,183260,254358,1269413,1360635,1269180,479002,112176,817023,3673383,2228665,2261741
2002,Connecticut,9,Northeast,New England ,3458749,2952581,347685,158483,940829,903229,1001899,467037,145755,353717,3105032,1780500,1678249
2002,Delaware,10,South,South Atlantic,806169,609830,162182,34157,221312,223918,220685,114099,26155,44187,761982,414652,391517
2002,District of Columbia,11,South,South Atlantic,573158,204051,341307,27800,134833,198409,148515,72128,19273,47054,526104,303146,270012
2002,Florida,12,South,South Atlantic,16689370,13511056,2577932,600382,4190302,4362705,4481301,2879795,775267,3013530,13675840,8541734,8147636
2002,Georgia,13,South,South Atlantic,8508256,5682323,2490704,335229,2493892,2618008,2270997,923983,201376,523285,7984971,4327934,4180322
2002,Hawaii,15,West,Pacific,1239613,323116,26235,890262,326687,351393,345702,171555,44276,95043,1144570,616192,623421
2002,Idaho,16,West,Mountain,1340372,1278798,7098,54476,421525,364012,350707,162027,42101,114838,1225534,668686,671686
2002,Illinois,17,Midwest,East North Central,12525556,9959242,1904805,661509,3594189,3600924,3344371,1560693,425379,1653300,10872256,6387897,6137659
2002,Indiana,18,Midwest,East North Central,6155967,5465558,533829,156580,1764686,1711716,1670883,801930,206752,249409,5906558,3133342,3022625
2002,Iowa,19,Midwest,West North Central,2934234,2787830,67360,79044,817559,766384,793215,420732,136344,96786,2837448,1491450,1442784
2002,Kansas,20,Midwest,West North Central,2713535,2424306,159551,129678,795970,734313,725175,349894,108183,210500,2503035,1371898,1341637
2002,Kentucky,21,South,East South Central,4089875,3696053,307401,86421,1109644,1158229,1133755,558367,129880,73197,4016678,2087223,2002652
2002,Louisiana,22,South,West South Central,4497267,2896613,1472718,127936,1338467,1257731,1199174,570292,131603,124055,4373212,2315524,2181743
2002,Maine,23,Northeast,New England ,1295960,1255910,9168,30882,334528,323364,392986,193553,51529,11465,1284495,664226,631734
2002,Maryland,24,South,South Atlantic,5440389,3531821,1562646,345922,1519125,1518557,1568139,672808,161760,273885,5166504,2815197,2625192
2002,Massachusetts,25,Northeast,New England ,6417206,5604564,430504,382138,1683589,1831328,1795930,849940,256419,473815,5943391,3319436,3097770
2002,Michigan,26,Midwest,East North Central,10015710,8162776,1439399,413535,2869862,2729702,2783173,1298177,334796,357136,9658574,5100171,4915539
2002,Minnesota,27,Midwest,West North Central,5018935,4523713,201763,293459,1439059,1394741,1390465,611193,183477,168979,4849956,2531205,2487730
2002,Mississippi,28,South,East South Central,2858681,1763314,1042311,53056,856037,796098,742908,374714,88924,47924,2810757,1475412,1383269
2002,Missouri,29,Midwest,West North Central,5674825,4848677,650232,175916,1589672,1536377,1545951,791469,211356,137828,5536997,2910476,2764349
2002,Montana,30,West,Mountain,911667,829714,3372,78581,253518,223479,269955,129559,35156,20622,891045,456712,454955
2002,Nebraska,31,Midwest,West North Central,1728292,1592778,72870,62644,504188,465107,460117,228325,70555,110994,1617298,874803,853489
2002,Nevada,32,West,Mountain,2173791,1801308,159264,213219,602712,638640,592857,290450,49132,465381,1708410,1069764,1104027
2002,New Hampshire,33,Northeast,New England ,1269089,1221276,11784,36029,348934,333291,384941,160633,41290,25288,1243801,643680,625409
2002,New Jersey,34,Northeast,Middle Atlantic,8552643,6617979,1235091,699573,2318754,2351497,2416042,1151787,314563,1218847,7333796,4398801,4153842
2002,New Mexico,35,West,Mountain,1855309,1575099,40480,239730,560824,493623,502641,243220,55001,800870,1054439,941856,913453
2002,New York,36,Northeast,Middle Atlantic,19137800,14159311,3367218,1611271,5177855,5478758,5219348,2569441,692398,3007143,16130657,9902927,9234873
2002,North Carolina,37,South,South Atlantic,8326201,6168788,1814581,342832,2273537,2434919,2267597,1100531,249617,461933,7864268,4250179,4076022
