Year,State,violent_crime_rate
2013,Wyoming,1212
2014,Alabama,20727
2014,Alaska,4684
2014,Arizona,26422
2014,Arkansas,14248
2014,California,153763
2014,Colorado,16487
2014,Connecticut,8575
2014,Delaware,4568
2014,District of Columbia,8199
2014,Florida,91345
2014,Georgia,38955
2014,Hawaii,3362
2014,Idaho,3439
2014,Illinois,47775
2014,Indiana,24105
2014,Iowa,8484
2014,Kansas,10235
2014,Kentucky,9495
2014,Louisiana,23983
2014,Maine,1698
2014,Maryland,26767
2014,Massachusetts,26689
2014,Michigan,42555
2014,Minnesota,12505
2014,Mississippi,8331
2014,Missouri,26882
2014,Montana,3361
2014,Nebraska,5201
2014,Nevada,18043
2014,New Hampshire,2625
2014,New Jersey,23319
2014,New Mexico,12465
2014,New York,75972
2014,North Carolina,32718
2014,North Dakota,2001
2014,Ohio,33130
2014,Oklahoma,16052
2014,Oregon,10294
2014,Pennsylvania,40298
2014,Rhode Island,2320
2014,South Carolina,24038
2014,South Dakota,2801
2014,Tennessee,39989
2014,Texas,109711
2014,Utah,6464
2014,Vermont,643
2014,Virginia,16522
2014,Washington,20185
2014,West Virginia,5850
2014,Wisconsin,16763
2014,Wyoming,1142
2015,Alabama,22957
2015,Alaska,5391
2015,Arizona,27968
2015,Arkansas,15769
2015,California,166883
2015,Colorado,17348
2015,Connecticut,7938
2015,Delaware,4760
2015,District of Columbia,8538
2015,Florida,93625
2015,Georgia,38891
2015,Hawaii,4201
2015,Idaho,3593
2015,Illinois,49755
2015,Indiana,25373
2015,Iowa,8619
2015,Kansas,11483
2015,Kentucky,9887
2015,Louisiana,25202
2015,Maine,1726
2015,Maryland,28185
2015,Massachusetts,26453
2015,Michigan,41712
2015,Minnesota,13319
2015,Mississippi,8190
2015,Missouri,30292
2015,Montana,3647
2015,Nebraska,5167
2015,Nevada,20118
2015,New Hampshire,2692
2015,New Jersey,22879
2015,New Mexico,13672
2015,New York,75126
2015,North Carolina,34734
2015,North Dakota,1949
2015,Ohio,34373
2015,Oklahoma,16746
2015,Oregon,10680
2015,Pennsylvania,40348
2015,Rhode Island,2565
2015,South Carolina,24448
2015,South Dakota,3302
2015,Tennessee,40816
2015,Texas,113193
2015,Utah,7138
2015,Vermont,747
2015,Virginia,16705
2015,Washington,20505
2015,West Virginia,6397
2015,Wisconsin,17549
2015,Wyoming,1300
2016,Alabama,25878
2016,Alaska,5966
2016,Arizona,32542
2016,Arkansas,16563
2016,California,174796
2016,Colorado,19030
2016,Connecticut,8169
2016,Delaware,4859
2016,District of Columbia,8236
2016,Florida,88700
2016,Georgia,40268
2016,Hawaii,3452
2016,Idaho,3876
2016,Illinois,56054
2016,Indiana,26516
2016,Iowa,9170
2016,Kansas,11665
2016,Kentucky,10452
2016,Louisiana,26477
2016,Maine,1649
2016,Maryland,29019
2016,Massachusetts,25975
2016,Michigan,45782
2016,Minnesota,13365
2016,Mississippi,8411
2016,Missouri,31720
2016,Montana,3886
2016,Nebraska,5661
2016,Nevada,19924
2016,New Hampshire,2668
2016,New Jersey,21861
2016,New Mexico,14585
2016,New York,74315
2016,North Carolina,37767
2016,North Dakota,1905
2016,Ohio,35759
2016,Oklahoma,17855
2016,Oregon,10983
2016,Pennsylvania,40389
2016,Rhode Island,2529
2016,South Carolina,25137
2016,South Dakota,3636
2016,Tennessee,42459
2016,Texas,121064
2016,Utah,7406
2016,Vermont,851
2016,Virginia,18495
2016,Washington,22101
2016,West Virginia,6633
2016,Wisconsin,17716
2016,Wyoming,1431
2017,Alabama,25469
2017,Alaska,6338
2017,Arizona,35647
2017,Arkansas,16996
2017,California,178597
2017,Colorado,20901
2017,Connecticut,8190
2017,Delaware,4377
2017,District of Columbia,6976
2017,Florida,85606
2017,Georgia,37118
2017,Hawaii,3577
2017,Idaho,4111
2017,Illinois,55777
2017,Indiana,26307
2017,Iowa,9038
2017,Kansas,11654
2017,Kentucky,10292
2017,Louisiana,25986
2017,Maine,1610
2017,Maryland,30321
2017,Massachusetts,24318
2017,Michigan,44883
2017,Minnesota,13345
2017,Mississippi,7661
2017,Missouri,32450
2017,Montana,3937
2017,Nebraska,5979
2017,Nevada,16663
2017,New Hampshire,2642
2017,New Jersey,20604
2017,New Mexico,16300
2017,New York,70746
2017,North Carolina,38043
2017,North Dakota,2133
2017,Ohio,34621
2017,Oklahoma,17989
2017,Oregon,11629
2017,Pennsylvania,40030
2017,Rhode Island,2474
2017,South Carolina,25412
2017,South Dakota,3753
2017,Tennessee,43940
2017,Texas,123984
2017,Utah,7515
2017,Vermont,1082
2017,Virginia,17811
2017,Washington,22483
2017,West Virginia,6564
2017,Wisconsin,18638
2017,Wyoming,1358
2018,Alabama,25567
2018,Alaska,6555
2018,Arizona,34053
2018,Arkansas,16904
2018,California,176604
2018,Colorado,22851
2018,Connecticut,7485
2018,Delaware,4079
2018,District of Columbia,6995
2018,Florida,81980
2018,Georgia,35619
